break_id,client_id,client_name,security_id,ticker,security_name,break_date,source_system,internal_system,source_quantity,internal_quantity,break_quantity,break_value_inr,break_pct,severity,rag_status,status,region,asset_class,sector,raised_date,sla_hours,sla_breached,assigned_to,root_cause
BRK-0011,CLT0008,Nippon India MF,INE361B01024,HCLTECH,HCL Technologies Ltd,2025-02-21,Broker Confirm,Simcorp,93747,97154,3407,5383060,3.635,Medium,Amber,Open,APAC,Equity,IT,2025-02-21,24,False,Recon Team,Price Variance
BRK-0012,CLT0011,BlackRock India Fund,INE031A01017,POWERGRID,Power Grid Corp of India,2025-01-28,Broker Confirm,In-house,78486,79282,796,250740,1.015,Low,Green,In Progress,Americas,Equity,Utilities,2025-01-28,4,False,Data Ops Team,System Sync Delay
BRK-0013,CLT0007,ICICI Prudential AMC,INE038A01020,HINDALCO,Hindalco Industries Ltd,2025-03-17,Bloomberg AIM,In-house,64959,67760,2801,1848660,4.313,Medium,Amber,Escalated,APAC,Equity,Metals,2025-03-17,48,False,Data Ops Team,System Sync Delay
BRK-0014,CLT0001,Tata Investment Corp,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-09-13,Custodian Report,In-house,73947,74150,203,578550,0.275,Low,Green,Open,APAC,Equity,Energy,2024-09-13,24,False,Data Ops Team,Corporate Action
BRK-0015,CLT0007,ICICI Prudential AMC,INE040A01034,HDFCBANK,HDFC Bank Ltd,2025-01-15,Bloomberg AIM,Charles River,88719,99905,11186,18121320,12.609,High,Red,Resolved,APAC,Equity,Banking,2025-01-15,48,False,Client Services,Trade Timing
BRK-0016,CLT0001,Tata Investment Corp,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-09-05,Bloomberg AIM,Simcorp,86834,97387,10553,30076050,12.154,High,Red,Open,APAC,Equity,Energy,2024-09-05,24,False,Recon Team,Corporate Action
BRK-0017,CLT0009,Emirates NBD Asset Mgmt,INE154A01025,ITC,ITC Ltd,2025-04-08,Bloomberg AIM,In-house,16916,16279,637,296205,3.762,Medium,Amber,Open,EMEA,Equity,FMCG,2025-04-08,24,False,Data Ops Team,Price Variance
BRK-0018,CLT0014,Temasek Holdings,INE020B01018,NTPC,NTPC Ltd,2024-10-31,Bloomberg AIM,In-house,93620,98620,5000,1800000,5.342,Medium,Amber,In Progress,APAC,Equity,Utilities,2024-10-31,4,True,Recon Team,System Sync Delay
BRK-0019,CLT0005,Kotak Mahindra AMC,INE414G01012,ADANIENT,Adani Enterprises Ltd,2024-07-08,Bloomberg AIM,Charles River,45892,41171,4721,11566450,10.286,High,Red,Open,APAC,Equity,Conglomerate,2024-07-08,24,False,Client Services,Price Variance
BRK-0020,CLT0008,Nippon India MF,INE361B01024,HCLTECH,HCL Technologies Ltd,2024-06-16,Custodian Report,Charles River,66806,65446,1360,2148800,2.035,Low,Green,Open,APAC,Equity,IT,2024-06-16,8,True,Escalation Desk,Manual Entry Error
BRK-0021,CLT0003,SBI Life Insurance,INE001A01036,SBIN,State Bank of India,2025-03-03,Custodian Report,Charles River,21321,21411,90,70200,0.424,Low,Green,Open,APAC,Equity,Banking,2025-03-03,24,True,Client Services,Corporate Action
BRK-0022,CLT0008,Nippon India MF,INE066A01021,ONGC,Oil & Natural Gas Corp,2024-07-03,Custodian Report,Simcorp,16148,15189,959,258930,5.934,Medium,Amber,In Progress,APAC,Equity,Energy,2024-07-03,24,True,Data Ops Team,Manual Entry Error
BRK-0023,CLT0002,Aditya Birla Capital,INE721A01013,SUNPHARMA,Sun Pharmaceutical Ltd,2024-07-06,Bloomberg AIM,In-house,72629,76674,4045,6795600,5.57,Medium,Amber,Escalated,APAC,Equity,Pharma,2024-07-06,4,False,Client Services,Corporate Action
BRK-0024,CLT0007,ICICI Prudential AMC,INE090A01021,ICICIBANK,ICICI Bank Ltd,2024-12-22,Custodian Report,Simcorp,33346,31519,1827,2265480,5.477,Medium,Amber,In Progress,APAC,Equity,Banking,2024-12-22,24,False,Client Services,Manual Entry Error
BRK-0025,CLT0007,ICICI Prudential AMC,INE414G01012,ADANIENT,Adani Enterprises Ltd,2024-09-27,Custodian Report,Simcorp,24356,24324,32,78400,0.128,Low,Green,Escalated,APAC,Equity,Conglomerate,2024-09-27,24,True,Data Ops Team,Trade Timing
BRK-0026,CLT0012,Vanguard Emerging Markets,INE467B01029,TCS,Tata Consultancy Services,2025-01-31,Bloomberg AIM,Charles River,79220,73505,5715,22402800,7.214,Medium,Amber,Resolved,Americas,Equity,IT,2025-01-31,24,False,Data Ops Team,System Sync Delay
BRK-0027,CLT0013,GIC Private Ltd Singapore,INE075A01022,WIPRO,Wipro Ltd,2024-10-28,Custodian Report,In-house,89118,91667,2549,1325480,2.861,Low,Green,Open,APAC,Equity,IT,2024-10-28,24,True,Recon Team,Price Variance
BRK-0028,CLT0010,Abu Dhabi Investment Auth,INE031A01017,POWERGRID,Power Grid Corp of India,2024-07-26,Bloomberg AIM,Simcorp,3023,3301,278,87570,9.212,High,Red,Open,EMEA,Equity,Utilities,2024-07-26,4,False,Data Ops Team,Corporate Action
BRK-0029,CLT0010,Abu Dhabi Investment Auth,INE467B01029,TCS,Tata Consultancy Services,2025-03-18,Custodian Report,In-house,77354,76929,425,1666000,0.549,Low,Green,Open,EMEA,Equity,IT,2025-03-18,24,True,Recon Team,Price Variance
BRK-0030,CLT0007,ICICI Prudential AMC,INE040A01034,HDFCBANK,HDFC Bank Ltd,2024-07-04,Bloomberg AIM,In-house,89726,89624,102,165240,0.113,Low,Green,In Progress,APAC,Equity,Banking,2024-07-04,48,True,Client Services,Corporate Action
BRK-0031,CLT0009,Emirates NBD Asset Mgmt,INE066A01021,ONGC,Oil & Natural Gas Corp,2024-06-23,Broker Confirm,Simcorp,83540,89895,6355,1715850,7.608,Medium,Amber,Resolved,EMEA,Equity,Energy,2024-06-23,8,False,Client Services,Trade Timing
BRK-0032,CLT0011,BlackRock India Fund,INE018A01030,LARSEN,Larsen & Toubro Ltd,2025-02-07,Custodian Report,In-house,62752,65531,2779,10143350,4.429,Medium,Amber,In Progress,Americas,Equity,Infrastructure,2025-02-07,48,True,Recon Team,Corporate Action
BRK-0033,CLT0006,LIC of India,INE090A01021,ICICIBANK,ICICI Bank Ltd,2024-09-09,Bloomberg AIM,Charles River,27854,25717,2137,2649880,7.672,Medium,Amber,Open,APAC,Equity,Banking,2024-09-09,8,False,Data Ops Team,Price Variance
BRK-0034,CLT0009,Emirates NBD Asset Mgmt,INE296A01024,BAJFINANCE,Bajaj Finance Ltd,2024-08-23,Broker Confirm,Simcorp,51323,44453,6870,48777000,13.384,High,Red,Escalated,EMEA,Equity,NBFC,2024-08-23,8,True,Escalation Desk,Corporate Action
BRK-0035,CLT0010,Abu Dhabi Investment Auth,INE009A01021,INFY,Infosys Ltd,2025-02-07,Broker Confirm,Charles River,38714,39860,1146,1696080,2.961,Low,Green,In Progress,EMEA,Equity,IT,2025-02-07,24,False,Recon Team,Trade Timing
BRK-0036,CLT0006,LIC of India,INE066A01021,ONGC,Oil & Natural Gas Corp,2025-04-25,Broker Confirm,Simcorp,28441,24333,4108,1109160,14.443,High,Red,Resolved,APAC,Equity,Energy,2025-04-25,24,False,Data Ops Team,Manual Entry Error
BRK-0037,CLT0009,Emirates NBD Asset Mgmt,INE038A01020,HINDALCO,Hindalco Industries Ltd,2024-10-24,Bloomberg AIM,Simcorp,27323,28717,1394,920040,5.105,Medium,Amber,In Progress,EMEA,Equity,Metals,2024-10-24,48,False,Data Ops Team,System Sync Delay
BRK-0038,CLT0002,Aditya Birla Capital,INE414G01012,ADANIENT,Adani Enterprises Ltd,2025-04-01,Broker Confirm,Simcorp,8595,7354,1241,3040450,14.429,High,Red,Open,APAC,Equity,Conglomerate,2025-04-01,48,False,Data Ops Team,Corporate Action
BRK-0039,CLT0004,HDFC Pension Fund,INE154A01025,ITC,ITC Ltd,2024-07-13,Bloomberg AIM,Simcorp,49481,52499,3018,1403370,6.101,Medium,Amber,In Progress,APAC,Equity,FMCG,2024-07-13,24,False,Recon Team,Corporate Action
BRK-0040,CLT0006,LIC of India,INE002A01018,RELIANCE,Reliance Industries Ltd,2024-07-14,Broker Confirm,Charles River,41301,39752,1549,4414650,3.75,Medium,Amber,In Progress,APAC,Equity,Energy,2024-07-14,8,False,Escalation Desk,Price Variance
BRK-0041,CLT0003,SBI Life Insurance,INE031A01017,POWERGRID,Power Grid Corp of India,2025-03-07,Broker Confirm,Simcorp,21112,23055,1943,612045,9.207,High,Red,In Progress,APAC,Equity,Utilities,2025-03-07,4,False,Client Services,Price Variance
BRK-0042,CLT0002,Aditya Birla Capital,INE018A01030,LARSEN,Larsen & Toubro Ltd,2025-05-12,Bloomberg AIM,Simcorp,89925,81570,8355,30495750,9.29,High,Red,In Progress,APAC,Equity,Infrastructure,2025-05-12,8,False,Escalation Desk,Corporate Action
BRK-0043,CLT0009,Emirates NBD Asset Mgmt,INE585B01010,AXISBANK,Axis Bank Ltd,2025-02-24,Bloomberg AIM,Simcorp,31911,30635,1276,1339800,3.998,Medium,Amber,Open,EMEA,Equity,Banking,2025-02-24,48,False,Escalation Desk,Corporate Action
BRK-0044,CLT0011,BlackRock India Fund,INE001A01036,SBIN,State Bank of India,2024-06-12,Bloomberg AIM,Charles River,85861,85108,753,587340,0.877,Low,Green,Open,Americas,Equity,Banking,2024-06-12,24,True,Data Ops Team,System Sync Delay
BRK-0045,CLT0013,GIC Private Ltd Singapore,INE361B01024,HCLTECH,HCL Technologies Ltd,2025-05-24,Bloomberg AIM,In-house,54216,53608,608,960640,1.12,Low,Green,In Progress,APAC,Equity,IT,2025-05-24,24,False,Recon Team,Manual Entry Error
BRK-0046,CLT0001,Tata Investment Corp,INE414G01012,ADANIENT,Adani Enterprises Ltd,2024-09-06,Broker Confirm,In-house,5470,5887,417,1021650,7.638,Medium,Amber,In Progress,APAC,Equity,Conglomerate,2024-09-06,48,False,Recon Team,Trade Timing
BRK-0047,CLT0001,Tata Investment Corp,INE066A01021,ONGC,Oil & Natural Gas Corp,2024-08-25,Custodian Report,In-house,85105,90867,5762,1555740,6.771,Medium,Amber,Resolved,APAC,Equity,Energy,2024-08-25,4,False,Recon Team,Manual Entry Error
BRK-0048,CLT0004,HDFC Pension Fund,INE031A01017,POWERGRID,Power Grid Corp of India,2024-10-09,Bloomberg AIM,Simcorp,2773,2739,34,10710,1.217,Low,Green,Open,APAC,Equity,Utilities,2024-10-09,48,False,Client Services,System Sync Delay
BRK-0049,CLT0002,Aditya Birla Capital,INE001A01036,SBIN,State Bank of India,2025-05-21,Bloomberg AIM,Simcorp,14547,15553,1006,784680,6.922,Medium,Amber,Open,APAC,Equity,Banking,2025-05-21,4,False,Client Services,System Sync Delay
BRK-0050,CLT0004,HDFC Pension Fund,INE414G01012,ADANIENT,Adani Enterprises Ltd,2024-06-25,Broker Confirm,Simcorp,92035,93680,1645,4030250,1.788,Low,Green,Open,APAC,Equity,Conglomerate,2024-06-25,4,False,Recon Team,System Sync Delay
BRK-0051,CLT0002,Aditya Birla Capital,INE018A01030,LARSEN,Larsen & Toubro Ltd,2024-11-24,Bloomberg AIM,In-house,90341,92218,1877,6851050,2.079,Low,Green,In Progress,APAC,Equity,Infrastructure,2024-11-24,24,False,Client Services,System Sync Delay
BRK-0052,CLT0014,Temasek Holdings,INE018A01030,LARSEN,Larsen & Toubro Ltd,2024-09-12,Custodian Report,Charles River,11872,11851,21,76650,0.175,Low,Green,Open,APAC,Equity,Infrastructure,2024-09-12,24,True,Client Services,Manual Entry Error
BRK-0053,CLT0013,GIC Private Ltd Singapore,INE296A01024,BAJFINANCE,Bajaj Finance Ltd,2024-11-06,Bloomberg AIM,Charles River,76250,74027,2223,15783300,2.915,Low,Green,In Progress,APAC,Equity,NBFC,2024-11-06,8,False,Data Ops Team,Corporate Action
BRK-0054,CLT0012,Vanguard Emerging Markets,INE066A01021,ONGC,Oil & Natural Gas Corp,2025-03-17,Bloomberg AIM,Simcorp,97922,86459,11463,3095010,11.706,High,Red,Resolved,Americas,Equity,Energy,2025-03-17,4,False,Client Services,Trade Timing
BRK-0055,CLT0010,Abu Dhabi Investment Auth,INE414G01012,ADANIENT,Adani Enterprises Ltd,2024-10-02,Custodian Report,In-house,20057,23017,2960,7252000,14.763,High,Red,Open,EMEA,Equity,Conglomerate,2024-10-02,48,False,Escalation Desk,Trade Timing
BRK-0056,CLT0008,Nippon India MF,INE018A01030,LARSEN,Larsen & Toubro Ltd,2024-11-15,Broker Confirm,Charles River,14614,15102,488,1781200,3.343,Medium,Amber,In Progress,APAC,Equity,Infrastructure,2024-11-15,8,False,Client Services,Trade Timing
BRK-0057,CLT0014,Temasek Holdings,INE009A01021,INFY,Infosys Ltd,2025-05-21,Custodian Report,In-house,97122,98916,1794,2655120,1.848,Low,Green,Resolved,APAC,Equity,IT,2025-05-21,8,True,Data Ops Team,Manual Entry Error
BRK-0058,CLT0005,Kotak Mahindra AMC,INE066A01021,ONGC,Oil & Natural Gas Corp,2024-10-23,Bloomberg AIM,Charles River,62365,61895,470,126900,0.753,Low,Green,Open,APAC,Equity,Energy,2024-10-23,8,False,Client Services,Manual Entry Error
BRK-0059,CLT0003,SBI Life Insurance,INE296A01024,BAJFINANCE,Bajaj Finance Ltd,2025-04-09,Bloomberg AIM,Charles River,92243,88355,3888,27604800,4.214,Medium,Amber,Escalated,APAC,Equity,NBFC,2025-04-09,8,False,Data Ops Team,Corporate Action
BRK-0060,CLT0012,Vanguard Emerging Markets,INE001A01036,SBIN,State Bank of India,2025-05-21,Custodian Report,In-house,4892,4275,617,481260,12.595,High,Red,Open,Americas,Equity,Banking,2025-05-21,24,False,Data Ops Team,System Sync Delay
BRK-0061,CLT0003,SBI Life Insurance,INE414G01012,ADANIENT,Adani Enterprises Ltd,2024-12-23,Broker Confirm,Charles River,32990,28374,4616,11309200,13.992,High,Red,Resolved,APAC,Equity,Conglomerate,2024-12-23,8,True,Recon Team,Price Variance
BRK-0062,CLT0002,Aditya Birla Capital,INE066A01021,ONGC,Oil & Natural Gas Corp,2025-04-18,Broker Confirm,Simcorp,42593,47774,5181,1398870,12.164,High,Red,In Progress,APAC,Equity,Energy,2025-04-18,8,False,Client Services,Corporate Action
BRK-0063,CLT0005,Kotak Mahindra AMC,INE066A01021,ONGC,Oil & Natural Gas Corp,2025-01-01,Broker Confirm,Simcorp,88988,88818,170,45900,0.19,Low,Green,Open,APAC,Equity,Energy,2025-01-01,4,False,Escalation Desk,Price Variance
BRK-0064,CLT0002,Aditya Birla Capital,INE040A01034,HDFCBANK,HDFC Bank Ltd,2024-11-14,Bloomberg AIM,Charles River,69196,74259,5063,8202060,7.318,Medium,Amber,Open,APAC,Equity,Banking,2024-11-14,4,True,Data Ops Team,Price Variance
BRK-0065,CLT0013,GIC Private Ltd Singapore,INE213A01029,MARUTI,Maruti Suzuki India Ltd,2025-03-28,Broker Confirm,Charles River,13655,13285,370,4736000,2.705,Low,Green,In Progress,APAC,Equity,Auto,2025-03-28,8,False,Escalation Desk,Corporate Action
BRK-0066,CLT0013,GIC Private Ltd Singapore,INE361B01024,HCLTECH,HCL Technologies Ltd,2025-01-13,Broker Confirm,Charles River,15582,14717,865,1366700,5.55,Medium,Amber,Open,APAC,Equity,IT,2025-01-13,48,False,Client Services,Corporate Action
BRK-0067,CLT0015,Norges Bank Investment Mgmt,INE414G01012,ADANIENT,Adani Enterprises Ltd,2024-11-05,Broker Confirm,Simcorp,74840,66889,7951,19479950,10.624,High,Red,Open,EMEA,Equity,Conglomerate,2024-11-05,48,False,Data Ops Team,Trade Timing
BRK-0068,CLT0012,Vanguard Emerging Markets,INE296A01024,BAJFINANCE,Bajaj Finance Ltd,2024-07-24,Bloomberg AIM,Charles River,92092,87706,4386,31140600,4.762,Medium,Amber,In Progress,Americas,Equity,NBFC,2024-07-24,8,False,Data Ops Team,Corporate Action
BRK-0069,CLT0013,GIC Private Ltd Singapore,INE075A01022,WIPRO,Wipro Ltd,2025-04-19,Custodian Report,In-house,35924,39249,3325,1729000,9.256,High,Red,Resolved,APAC,Equity,IT,2025-04-19,24,False,Recon Team,Corporate Action
BRK-0070,CLT0014,Temasek Holdings,INE075A01022,WIPRO,Wipro Ltd,2024-07-23,Custodian Report,In-house,11989,13346,1357,705640,11.321,High,Red,Resolved,APAC,Equity,IT,2024-07-23,4,True,Client Services,Corporate Action
BRK-0071,CLT0007,ICICI Prudential AMC,INE117A01022,BHARTIARTL,Bharti Airtel Ltd,2024-09-24,Broker Confirm,Charles River,49840,45325,4515,6275850,9.057,High,Red,Resolved,APAC,Equity,Telecom,2024-09-24,24,False,Data Ops Team,Price Variance
BRK-0072,CLT0005,Kotak Mahindra AMC,INE467B01029,TCS,Tata Consultancy Services,2025-03-10,Bloomberg AIM,Simcorp,89523,84761,4762,18667040,5.319,Medium,Amber,In Progress,APAC,Equity,IT,2025-03-10,48,True,Data Ops Team,System Sync Delay
BRK-0073,CLT0005,Kotak Mahindra AMC,INE721A01013,SUNPHARMA,Sun Pharmaceutical Ltd,2024-10-07,Bloomberg AIM,Charles River,65506,58381,7125,11970000,10.875,High,Red,Open,APAC,Equity,Pharma,2024-10-07,24,False,Client Services,Price Variance
BRK-0074,CLT0010,Abu Dhabi Investment Auth,INE361B01024,HCLTECH,HCL Technologies Ltd,2024-08-01,Bloomberg AIM,Charles River,59044,62613,3569,5639020,6.045,Medium,Amber,In Progress,EMEA,Equity,IT,2024-08-01,48,False,Data Ops Team,System Sync Delay
BRK-0075,CLT0011,BlackRock India Fund,INE001A01036,SBIN,State Bank of India,2024-07-08,Bloomberg AIM,In-house,74141,68935,5206,4060680,7.021,Medium,Amber,Open,Americas,Equity,Banking,2024-07-08,24,False,Escalation Desk,Trade Timing
BRK-0076,CLT0005,Kotak Mahindra AMC,INE001A01036,SBIN,State Bank of India,2025-01-08,Custodian Report,In-house,15441,13965,1476,1151280,9.557,High,Red,Open,APAC,Equity,Banking,2025-01-08,48,True,Client Services,Manual Entry Error
BRK-0077,CLT0008,Nippon India MF,INE117A01022,BHARTIARTL,Bharti Airtel Ltd,2025-05-15,Custodian Report,In-house,46194,41711,4483,6231370,9.705,High,Red,Resolved,APAC,Equity,Telecom,2025-05-15,4,True,Recon Team,Manual Entry Error
BRK-0078,CLT0004,HDFC Pension Fund,INE296A01024,BAJFINANCE,Bajaj Finance Ltd,2025-05-02,Bloomberg AIM,Charles River,42767,42668,99,702900,0.23,Low,Green,Open,APAC,Equity,NBFC,2025-05-02,24,False,Data Ops Team,System Sync Delay
BRK-0079,CLT0007,ICICI Prudential AMC,INE154A01025,ITC,ITC Ltd,2024-08-28,Broker Confirm,Simcorp,98667,87070,11597,5392605,11.753,High,Red,In Progress,APAC,Equity,FMCG,2024-08-28,4,True,Recon Team,Trade Timing
BRK-0080,CLT0010,Abu Dhabi Investment Auth,INE009A01021,INFY,Infosys Ltd,2024-12-19,Custodian Report,In-house,61548,68649,7101,10509480,11.538,High,Red,Open,EMEA,Equity,IT,2024-12-19,8,False,Data Ops Team,Trade Timing
BRK-0081,CLT0008,Nippon India MF,INE038A01020,HINDALCO,Hindalco Industries Ltd,2025-04-15,Custodian Report,Simcorp,84591,79546,5045,3329700,5.964,Medium,Amber,Resolved,APAC,Equity,Metals,2025-04-15,48,True,Data Ops Team,Corporate Action
BRK-0082,CLT0011,BlackRock India Fund,INE154A01025,ITC,ITC Ltd,2024-06-17,Custodian Report,In-house,6167,5660,507,235755,8.217,High,Red,In Progress,Americas,Equity,FMCG,2024-06-17,8,False,Client Services,Corporate Action
BRK-0083,CLT0012,Vanguard Emerging Markets,INE040A01034,HDFCBANK,HDFC Bank Ltd,2024-07-03,Custodian Report,Simcorp,88527,76115,12412,20107440,14.02,High,Red,In Progress,Americas,Equity,Banking,2024-07-03,4,False,Recon Team,Manual Entry Error
BRK-0084,CLT0005,Kotak Mahindra AMC,INE038A01020,HINDALCO,Hindalco Industries Ltd,2025-04-24,Broker Confirm,Charles River,19455,18901,554,365640,2.845,Low,Green,Resolved,APAC,Equity,Metals,2025-04-24,48,False,Client Services,Price Variance
BRK-0085,CLT0001,Tata Investment Corp,INE117A01022,BHARTIARTL,Bharti Airtel Ltd,2024-09-27,Custodian Report,Charles River,24561,25879,1318,1832020,5.367,Medium,Amber,Open,APAC,Equity,Telecom,2024-09-27,48,False,Escalation Desk,Price Variance
BRK-0086,CLT0011,BlackRock India Fund,INE040A01034,HDFCBANK,HDFC Bank Ltd,2024-10-03,Custodian Report,In-house,80692,75347,5345,8658900,6.624,Medium,Amber,Open,Americas,Equity,Banking,2024-10-03,8,False,Escalation Desk,System Sync Delay
BRK-0087,CLT0015,Norges Bank Investment Mgmt,INE031A01017,POWERGRID,Power Grid Corp of India,2024-06-01,Bloomberg AIM,Charles River,63345,60764,2581,813015,4.074,Medium,Amber,In Progress,EMEA,Equity,Utilities,2024-06-01,24,True,Recon Team,System Sync Delay
BRK-0088,CLT0007,ICICI Prudential AMC,INE154A01025,ITC,ITC Ltd,2025-02-16,Custodian Report,In-house,1849,1954,105,48825,5.724,Medium,Amber,Resolved,APAC,Equity,FMCG,2025-02-16,8,False,Escalation Desk,Trade Timing
BRK-0089,CLT0003,SBI Life Insurance,INE038A01020,HINDALCO,Hindalco Industries Ltd,2025-05-24,Custodian Report,In-house,41289,40604,685,452100,1.658,Low,Green,Resolved,APAC,Equity,Metals,2025-05-24,48,False,Data Ops Team,Manual Entry Error
BRK-0090,CLT0009,Emirates NBD Asset Mgmt,INE075A01022,WIPRO,Wipro Ltd,2024-08-22,Custodian Report,In-house,71647,66344,5303,2757560,7.401,Medium,Amber,Open,EMEA,Equity,IT,2024-08-22,24,False,Recon Team,Manual Entry Error
BRK-0091,CLT0015,Norges Bank Investment Mgmt,INE467B01029,TCS,Tata Consultancy Services,2025-04-17,Broker Confirm,Charles River,80391,76027,4364,17106880,5.427,Medium,Amber,In Progress,EMEA,Equity,IT,2025-04-17,24,True,Escalation Desk,System Sync Delay
BRK-0092,CLT0013,GIC Private Ltd Singapore,INE075A01022,WIPRO,Wipro Ltd,2025-02-04,Broker Confirm,Simcorp,71038,81618,10580,5501600,14.893,High,Red,Resolved,APAC,Equity,IT,2025-02-04,48,False,Client Services,System Sync Delay
BRK-0093,CLT0010,Abu Dhabi Investment Auth,INE066A01021,ONGC,Oil & Natural Gas Corp,2024-09-11,Custodian Report,In-house,78028,83983,5955,1607850,7.633,Medium,Amber,Escalated,EMEA,Equity,Energy,2024-09-11,4,True,Data Ops Team,Price Variance
BRK-0094,CLT0014,Temasek Holdings,INE031A01017,POWERGRID,Power Grid Corp of India,2024-12-03,Bloomberg AIM,Simcorp,32066,31527,539,169785,1.679,Low,Green,In Progress,APAC,Equity,Utilities,2024-12-03,8,False,Escalation Desk,Manual Entry Error
BRK-0095,CLT0009,Emirates NBD Asset Mgmt,INE090A01021,ICICIBANK,ICICI Bank Ltd,2025-03-15,Broker Confirm,Simcorp,28356,24893,3463,4294120,12.21,High,Red,Open,EMEA,Equity,Banking,2025-03-15,4,True,Client Services,Trade Timing
BRK-0096,CLT0002,Aditya Birla Capital,INE066A01021,ONGC,Oil & Natural Gas Corp,2025-01-25,Custodian Report,Simcorp,68289,77090,8801,2376270,12.888,High,Red,Open,APAC,Equity,Energy,2025-01-25,24,False,Escalation Desk,Corporate Action
BRK-0097,CLT0011,BlackRock India Fund,INE414G01012,ADANIENT,Adani Enterprises Ltd,2025-05-11,Custodian Report,Simcorp,48771,55116,6345,15545250,13.011,High,Red,In Progress,Americas,Equity,Conglomerate,2025-05-11,4,False,Data Ops Team,Trade Timing
BRK-0098,CLT0004,HDFC Pension Fund,INE031A01017,POWERGRID,Power Grid Corp of India,2025-05-07,Bloomberg AIM,Charles River,36856,41981,5125,1614375,13.906,High,Red,Open,APAC,Equity,Utilities,2025-05-07,24,False,Client Services,Corporate Action
BRK-0099,CLT0012,Vanguard Emerging Markets,INE002A01018,RELIANCE,Reliance Industries Ltd,2025-02-11,Bloomberg AIM,Simcorp,57242,57608,366,1043100,0.641,Low,Green,Open,Americas,Equity,Energy,2025-02-11,24,False,Escalation Desk,Corporate Action
BRK-0100,CLT0012,Vanguard Emerging Markets,INE001A01036,SBIN,State Bank of India,2025-01-29,Broker Confirm,Charles River,57154,54372,2782,2169960,4.866,Medium,Amber,Resolved,Americas,Equity,Banking,2025-01-29,8,False,Escalation Desk,Price Variance
BRK-0101,CLT0009,Emirates NBD Asset Mgmt,INE585B01010,AXISBANK,Axis Bank Ltd,2025-01-30,Broker Confirm,In-house,94109,97913,3804,3994200,4.043,Medium,Amber,In Progress,EMEA,Equity,Banking,2025-01-30,4,True,Recon Team,Corporate Action
BRK-0102,CLT0005,Kotak Mahindra AMC,INE009A01021,INFY,Infosys Ltd,2024-12-16,Broker Confirm,In-house,9680,9851,171,253080,1.771,Low,Green,Open,APAC,Equity,IT,2024-12-16,4,False,Recon Team,Corporate Action
