record_id,client_id,client_name,client_type,region,relationship_manager,onboarding_date,aum_inr_crores,portfolio_count,kyc_status,kyc_expiry,risk_rating,status,last_reviewed,days_since_review,email,contact_phone,data_complete,validated
CLT-REC-00015,CLT0015,Norges Bank Investment Mgmt,Sovereign,EMEA,Erik Larsen,2018-01-17,46106.19,20,Verified,2025-11-16,High,Active,2025-02-10,105,ops@norgesbank.com,+91-9140613833,True,True
CLT-REC-00016,CLT0013,GIC Private Ltd Singapore,Sovereign,APAC,Chen Wei,2017-05-22,12597.35,10,Verified,2027-02-05,Low,Active,2025-01-15,131,ops@gicprivate.com,+91-8415040014,True,True
CLT-REC-00017,CLT0009,Emirates NBD Asset Mgmt,Institutional,EMEA,,2018-03-20,11598.19,12,Pending,2025-10-18,Medium,Active,2025-04-12,44,,,False,True
CLT-REC-00018,CLT0007,ICICI Prudential AMC,AMC,APAC,Sunita Joshi,2019-12-01,31253.5,18,Expired,2026-05-14,Low,Active,2024-06-29,331,ops@iciciprude.com,+91-9792003668,True,False
CLT-REC-00019,CLT0001,Tata Investment Corp,Institutional,APAC,Priya Sharma,2019-03-15,6363.83,1,Pending,2027-01-27,Medium,Active,2025-02-10,105,ops@tatainvest.com,+91-9717658930,True,False
CLT-REC-00020,CLT0014,Temasek Holdings,Sovereign,APAC,Lim Boon Keng,2016-10-08,607.28,1,Verified,2026-11-24,High,Active,2024-04-21,400,ops@temasekhol.com,+91-9672176434,True,True
CLT-REC-00021,CLT0001,Tata Investment Corp,Institutional,APAC,Priya Sharma,2019-03-15,8894.94,9,Pending,2025-09-19,Medium,Active,2025-04-25,31,ops@tatainvest.com,+91-7437171581,True,True
CLT-REC-00022,CLT0008,Nippon India MF,AMC,APAC,Deepak Rao,2020-06-14,42469.14,12,Verified,2027-05-14,Medium,Active,2024-05-13,378,ops@nipponindi.com,+91-8128722116,True,True
CLT-REC-00023,CLT0014,Temasek Holdings,Sovereign,APAC,Lim Boon Keng,2016-10-08,12131.03,16,Verified,2026-01-08,Medium,Active,2024-06-10,350,ops@temasekhol.com,+91-8215808103,True,True
CLT-REC-00024,CLT0006,LIC of India,Insurance,APAC,Arjun Nair,2016-09-30,31402.55,19,Verified,2027-01-15,Medium,Active,2024-04-08,413,ops@licofindia.com,+91-8328687586,True,True
CLT-REC-00025,CLT0006,LIC of India,Insurance,APAC,Arjun Nair,2016-09-30,21456.85,12,Verified,2025-08-16,Medium,Active,2024-10-30,208,ops@licofindia.com,+91-7127086137,False,True
CLT-REC-00026,CLT0003,SBI Life Insurance,Insurance,APAC,Anjali Patel,2020-01-10,33715.57,19,Verified,2027-01-12,Medium,Active,2024-09-21,247,ops@sbilifeins.com,+91-7451436852,True,True
CLT-REC-00027,CLT0015,Norges Bank Investment Mgmt,Sovereign,EMEA,Erik Larsen,2018-01-17,38373.59,12,Verified,2026-11-11,Low,Active,2025-03-16,71,ops@norgesbank.com,+91-9156709122,True,True
CLT-REC-00028,CLT0011,BlackRock India Fund,Hedge Fund,Americas,James Mitchell,2020-02-28,5321.64,7,Expired,2027-04-28,Low,Active,2024-08-07,292,ops@blackrocki.com,+91-9847228597,True,False
CLT-REC-00029,CLT0006,LIC of India,Insurance,APAC,Arjun Nair,2016-09-30,32833.34,19,Verified,2026-10-07,High,Active,2024-01-12,500,ops@licofindia.com,+91-7130192291,True,True
CLT-REC-00030,CLT0011,BlackRock India Fund,Hedge Fund,Americas,James Mitchell,2020-02-28,27342.04,18,Verified,2026-03-15,Low,Active,2024-02-16,465,ops@blackrocki.com,+91-8123007244,True,True
CLT-REC-00031,CLT0011,BlackRock India Fund,Hedge Fund,Americas,,2020-02-28,44114.78,17,Verified,2027-02-20,Low,Active,2025-03-30,57,,,False,True
CLT-REC-00032,CLT0002,Aditya Birla Capital,Institutional,APAC,Rahul Mehta,2018-07-22,6330.8,5,Expired,2026-08-09,High,Active,2024-09-12,256,ops@adityabirl.com,+91-9293009199,True,True
CLT-REC-00033,CLT0014,Temasek Holdings,Sovereign,APAC,Lim Boon Keng,2016-10-08,22009.95,6,Verified,2026-06-12,High,Active,2024-03-29,423,ops@temasekhol.com,+91-9181866391,True,True
CLT-REC-00034,CLT0013,GIC Private Ltd Singapore,Sovereign,APAC,Chen Wei,2017-05-22,44035.68,8,Pending,2026-10-20,Medium,Active,2024-06-13,347,ops@gicprivate.com,+91-8307942764,True,False
CLT-REC-00035,CLT0007,ICICI Prudential AMC,AMC,APAC,Sunita Joshi,2019-12-01,28611.78,11,Verified,2027-05-10,Medium,Active,2025-04-16,40,ops@iciciprude.com,,False,False
CLT-REC-00036,CLT0008,Nippon India MF,AMC,APAC,Deepak Rao,2020-06-14,22333.96,1,Verified,2026-01-13,High,Active,2024-03-26,426,ops@nipponindi.com,+91-8328997831,True,True
CLT-REC-00037,CLT0002,Aditya Birla Capital,Institutional,APAC,Rahul Mehta,2018-07-22,19614.62,4,Verified,2025-07-08,High,Active,2024-07-16,314,ops@adityabirl.com,+91-9855980850,True,True
CLT-REC-00038,CLT0015,Norges Bank Investment Mgmt,Sovereign,EMEA,Erik Larsen,2018-01-17,4167.37,8,Verified,2027-03-28,High,Active,2024-08-11,288,ops@norgesbank.com,+91-7471446062,True,True
CLT-REC-00039,CLT0013,GIC Private Ltd Singapore,Sovereign,APAC,Chen Wei,2017-05-22,15435.45,19,Verified,2026-04-29,Medium,Active,2024-02-10,471,ops@gicprivate.com,+91-7465710204,True,True
CLT-REC-00040,CLT0001,Tata Investment Corp,Institutional,APAC,Priya Sharma,2019-03-15,21876.09,15,Expired,2026-10-02,High,Active,2024-05-10,381,ops@tatainvest.com,+91-8510426278,True,True
CLT-REC-00041,CLT0015,Norges Bank Investment Mgmt,Sovereign,EMEA,Erik Larsen,2018-01-17,32219.66,14,Verified,2025-06-17,Medium,Active,2024-02-28,453,ops@norgesbank.com,+91-9367456365,True,True
CLT-REC-00042,CLT0012,Vanguard Emerging Markets,AMC,Americas,Sarah Thompson,2019-07-15,47832.8,12,Verified,2025-09-10,High,Active,2024-10-21,217,ops@vanguardem.com,+91-7735891037,True,False
CLT-REC-00043,CLT0013,GIC Private Ltd Singapore,Sovereign,APAC,Chen Wei,2017-05-22,39767.46,18,Verified,2025-07-12,Low,Active,2024-09-24,244,ops@gicprivate.com,+91-8815623972,True,False
CLT-REC-00044,CLT0007,ICICI Prudential AMC,AMC,APAC,Sunita Joshi,2019-12-01,40644.9,20,Verified,2027-03-13,Medium,Active,2024-10-17,221,ops@iciciprude.com,+91-9253941043,True,True
CLT-REC-00045,CLT0013,GIC Private Ltd Singapore,Sovereign,APAC,Chen Wei,2017-05-22,25017.29,18,Verified,2025-08-15,Low,Active,2024-11-25,182,ops@gicprivate.com,+91-7885271674,True,False
CLT-REC-00046,CLT0006,LIC of India,Insurance,APAC,Arjun Nair,2016-09-30,11567.7,12,Verified,2025-11-03,Low,Active,2024-07-22,308,ops@licofindia.com,+91-9354958053,True,True
CLT-REC-00047,CLT0009,Emirates NBD Asset Mgmt,Institutional,EMEA,Omar Al Rashid,2018-03-20,29756.53,13,Verified,2026-04-13,Medium,Active,2025-02-10,105,ops@emiratesnb.com,+91-9413330305,True,False
CLT-REC-00048,CLT0010,Abu Dhabi Investment Auth,Sovereign,EMEA,Fatima Al Zaabi,2015-08-11,37643.94,6,Verified,2026-08-06,Medium,Active,2024-05-19,372,ops@abudhabiin.com,+91-9229744093,True,True
CLT-REC-00049,CLT0003,SBI Life Insurance,Insurance,APAC,Anjali Patel,2020-01-10,18144.38,3,Verified,2026-03-23,High,Active,2025-03-29,58,ops@sbilifeins.com,+91-8196406416,True,True
CLT-REC-00050,CLT0007,ICICI Prudential AMC,AMC,APAC,Sunita Joshi,2019-12-01,47785.79,4,Verified,2026-07-14,Low,Active,2025-03-08,79,ops@iciciprude.com,+91-8861080136,True,True
CLT-REC-00051,CLT0005,Kotak Mahindra AMC,AMC,APAC,Neha Gupta,2021-04-18,46784.77,15,Verified,2025-10-30,Medium,Active,2024-10-09,229,ops@kotakmahin.com,+91-7580520551,True,True
CLT-REC-00052,CLT0006,LIC of India,Insurance,APAC,Arjun Nair,2016-09-30,30175.53,19,Verified,2026-09-19,Medium,Active,2025-02-03,112,ops@licofindia.com,+91-7289198179,True,True
CLT-REC-00053,CLT0005,Kotak Mahindra AMC,AMC,APAC,Neha Gupta,2021-04-18,33886.93,8,Verified,2025-11-26,High,Active,2024-09-12,256,ops@kotakmahin.com,+91-9431352258,True,True
CLT-REC-00054,CLT0007,ICICI Prudential AMC,AMC,APAC,Sunita Joshi,2019-12-01,15938.97,9,Verified,2026-05-04,High,Active,2024-03-09,443,ops@iciciprude.com,+91-9481788720,True,True
CLT-REC-00055,CLT0008,Nippon India MF,AMC,APAC,Deepak Rao,2020-06-14,28981.45,9,Verified,2026-05-03,High,Active,2024-03-18,434,ops@nipponindi.com,+91-9650399618,True,True
CLT-REC-00056,CLT0005,Kotak Mahindra AMC,AMC,APAC,,2021-04-18,22958.08,10,Verified,2026-09-28,Medium,Active,2025-04-10,46,,,False,True
CLT-REC-00057,CLT0015,Norges Bank Investment Mgmt,Sovereign,EMEA,Erik Larsen,2018-01-17,12975.87,1,Verified,2026-01-03,Medium,Active,2025-01-24,122,ops@norgesbank.com,+91-7580761090,True,False
CLT-REC-00058,CLT0004,HDFC Pension Fund,Pension Fund,APAC,Vikram Singh,2017-11-05,49709.57,13,Verified,2026-09-05,Low,Active,2024-05-18,373,ops@hdfcpensio.com,+91-9988267744,True,True
CLT-REC-00059,CLT0006,LIC of India,Insurance,APAC,Arjun Nair,2016-09-30,6400.62,14,Verified,2027-03-22,Low,Active,2024-07-03,327,ops@licofindia.com,+91-7555796049,True,True
CLT-REC-00060,CLT0002,Aditya Birla Capital,Institutional,APAC,Rahul Mehta,2018-07-22,23700.29,9,Verified,2025-12-09,High,Active,2024-03-19,433,ops@adityabirl.com,+91-9619543793,True,True
CLT-REC-00061,CLT0011,BlackRock India Fund,Hedge Fund,Americas,James Mitchell,2020-02-28,35615.32,19,Verified,2026-10-07,Low,Active,2025-04-02,54,ops@blackrocki.com,+91-8521493584,True,True
CLT-REC-00062,CLT0005,Kotak Mahindra AMC,AMC,APAC,Neha Gupta,2021-04-18,3253.68,14,Expired,2026-11-19,High,Active,2024-02-22,459,ops@kotakmahin.com,+91-9081605564,True,False
CLT-REC-00063,CLT0013,GIC Private Ltd Singapore,Sovereign,APAC,Chen Wei,2017-05-22,40631.85,14,Verified,2025-05-21,Medium,Active,2024-05-23,368,ops@gicprivate.com,+91-8754459555,True,True
CLT-REC-00064,CLT0004,HDFC Pension Fund,Pension Fund,APAC,Vikram Singh,2017-11-05,2872.11,19,Verified,2025-09-23,High,Active,2024-09-22,246,ops@hdfcpensio.com,+91-7691463222,True,True
CLT-REC-00065,CLT0015,Norges Bank Investment Mgmt,Sovereign,EMEA,Erik Larsen,2018-01-17,46316.58,14,Verified,2025-05-16,High,Active,2024-06-29,331,ops@norgesbank.com,+91-9440761698,True,True
CLT-REC-00066,CLT0009,Emirates NBD Asset Mgmt,Institutional,EMEA,Omar Al Rashid,2018-03-20,19005.47,10,Verified,2026-09-12,High,Active,2024-06-25,335,ops@emiratesnb.com,+91-8083868888,True,True
CLT-REC-00067,CLT0014,Temasek Holdings,Sovereign,APAC,Lim Boon Keng,2016-10-08,48073.72,14,Pending,2025-09-28,Low,Active,2024-03-16,436,ops@temasekhol.com,+91-8197818240,True,True
CLT-REC-00068,CLT0014,Temasek Holdings,Sovereign,APAC,Lim Boon Keng,2016-10-08,49961.09,16,Verified,2026-08-05,Medium,Active,2024-05-18,373,ops@temasekhol.com,+91-8271454764,True,True
CLT-REC-00069,CLT0014,Temasek Holdings,Sovereign,APAC,Lim Boon Keng,2016-10-08,34050.57,18,Verified,2027-02-11,Medium,Active,2024-06-21,339,ops@temasekhol.com,+91-7813129949,True,True
CLT-REC-00070,CLT0011,BlackRock India Fund,Hedge Fund,Americas,James Mitchell,2020-02-28,13864.84,15,Verified,2025-07-17,Medium,Active,2024-06-12,348,ops@blackrocki.com,+91-7107434698,True,True
CLT-REC-00071,CLT0006,LIC of India,Insurance,APAC,Arjun Nair,2016-09-30,27528.03,19,Verified,2025-12-01,Low,Active,2024-12-05,172,ops@licofindia.com,+91-8836616057,True,False
CLT-REC-00072,CLT0008,Nippon India MF,AMC,APAC,,2020-06-14,27720.08,18,Pending,2026-08-16,Medium,Active,2024-09-26,242,,,False,True
CLT-REC-00073,CLT0005,Kotak Mahindra AMC,AMC,APAC,,2021-04-18,9412.55,10,Verified,2026-11-03,High,Active,2024-08-09,290,,,False,True
CLT-REC-00074,CLT0004,HDFC Pension Fund,Pension Fund,APAC,Vikram Singh,2017-11-05,32053.04,16,Verified,2025-06-01,High,Active,2024-03-07,445,ops@hdfcpensio.com,+91-7802241598,True,True
CLT-REC-00075,CLT0014,Temasek Holdings,Sovereign,APAC,Lim Boon Keng,2016-10-08,28489.13,2,Verified,2026-01-14,High,Active,2024-05-02,389,ops@temasekhol.com,+91-9999093780,True,True
CLT-REC-00076,CLT0006,LIC of India,Insurance,APAC,Arjun Nair,2016-09-30,10946.81,15,Verified,2025-12-19,Medium,Active,2024-09-10,258,ops@licofindia.com,+91-9208149011,True,True
CLT-REC-00077,CLT0005,Kotak Mahindra AMC,AMC,APAC,Neha Gupta,2021-04-18,33796.01,14,Verified,2026-10-15,Low,Active,2024-02-03,478,ops@kotakmahin.com,+91-7899733850,True,True
CLT-REC-00078,CLT0013,GIC Private Ltd Singapore,Sovereign,APAC,Chen Wei,2017-05-22,34670.17,4,Pending,2027-05-11,Low,Active,2024-08-25,274,ops@gicprivate.com,+91-9629003432,True,True
CLT-REC-00079,CLT0012,Vanguard Emerging Markets,AMC,Americas,Sarah Thompson,2019-07-15,33739.88,15,Verified,2026-10-11,High,Active,2025-02-10,105,ops@vanguardem.com,+91-8071002719,True,False
CLT-REC-00080,CLT0006,LIC of India,Insurance,APAC,Arjun Nair,2016-09-30,26163.88,6,Pending,2025-10-12,Low,Active,2024-09-09,259,ops@licofindia.com,+91-8917920206,True,True
CLT-REC-00081,CLT0007,ICICI Prudential AMC,AMC,APAC,Sunita Joshi,2019-12-01,25207.5,16,Verified,2026-10-23,Medium,Active,2025-04-28,28,ops@iciciprude.com,+91-7774400239,True,True
CLT-REC-00082,CLT0009,Emirates NBD Asset Mgmt,Institutional,EMEA,Omar Al Rashid,2018-03-20,22798.51,15,Verified,2025-09-16,Low,Active,2024-03-02,450,ops@emiratesnb.com,+91-8857393996,True,True
CLT-REC-00083,CLT0011,BlackRock India Fund,Hedge Fund,Americas,James Mitchell,2020-02-28,43551.33,8,Verified,2026-01-01,Low,Active,2024-09-22,246,,,False,True
CLT-REC-00084,CLT0002,Aditya Birla Capital,Institutional,APAC,Rahul Mehta,2018-07-22,40779.74,13,Verified,2025-07-09,Medium,Active,2024-12-18,159,ops@adityabirl.com,+91-9518565058,True,True
CLT-REC-00085,CLT0014,Temasek Holdings,Sovereign,APAC,Lim Boon Keng,2016-10-08,32173.25,18,Expired,2027-02-05,Medium,Active,2024-06-28,332,ops@temasekhol.com,+91-9906717967,False,True
CLT-REC-00086,CLT0002,Aditya Birla Capital,Institutional,APAC,Rahul Mehta,2018-07-22,36621.99,19,Pending,2026-12-04,Low,Active,2024-09-23,245,ops@adityabirl.com,+91-9768398876,True,True
CLT-REC-00087,CLT0012,Vanguard Emerging Markets,AMC,Americas,Sarah Thompson,2019-07-15,6346.16,11,Verified,2026-09-24,Low,Active,2024-04-16,405,ops@vanguardem.com,+91-7760516106,True,True
CLT-REC-00088,CLT0011,BlackRock India Fund,Hedge Fund,Americas,James Mitchell,2020-02-28,31727.83,6,Verified,2027-04-14,High,Active,2024-11-27,180,ops@blackrocki.com,+91-9766924558,True,True
CLT-REC-00089,CLT0010,Abu Dhabi Investment Auth,Sovereign,EMEA,Fatima Al Zaabi,2015-08-11,8228.91,20,Verified,2025-08-18,High,Active,2024-03-12,440,ops@abudhabiin.com,+91-8277906920,True,True
CLT-REC-00090,CLT0006,LIC of India,Insurance,APAC,Arjun Nair,2016-09-30,39304.1,1,Verified,2026-10-11,Low,Active,2025-04-30,26,ops@licofindia.com,+91-8760229696,True,True
CLT-REC-00091,CLT0003,SBI Life Insurance,Insurance,APAC,Anjali Patel,2020-01-10,26224.8,4,Verified,2026-04-07,High,Active,2024-07-12,318,ops@sbilifeins.com,+91-8317129435,True,False
CLT-REC-00092,CLT0007,ICICI Prudential AMC,AMC,APAC,Sunita Joshi,2019-12-01,41778.42,10,Verified,2027-05-21,Medium,Active,2024-09-13,255,ops@iciciprude.com,+91-7971770000,True,True
CLT-REC-00093,CLT0007,ICICI Prudential AMC,AMC,APAC,Sunita Joshi,2019-12-01,37753.58,9,Verified,2027-01-01,High,Active,2024-04-12,409,ops@iciciprude.com,+91-8565713036,True,True
CLT-REC-00094,CLT0002,Aditya Birla Capital,Institutional,APAC,Rahul Mehta,2018-07-22,9504.97,19,Verified,2025-09-25,High,Active,2025-04-28,28,ops@adityabirl.com,+91-7797950649,True,True
CLT-REC-00095,CLT0011,BlackRock India Fund,Hedge Fund,Americas,James Mitchell,2020-02-28,24291.78,18,Verified,2026-06-26,Low,Active,2025-02-26,89,ops@blackrocki.com,+91-9824686025,True,True
CLT-REC-00096,CLT0003,SBI Life Insurance,Insurance,APAC,Anjali Patel,2020-01-10,1754.01,15,Verified,2027-03-14,High,Active,2024-09-06,262,ops@sbilifeins.com,+91-9839534464,True,True
CLT-REC-00097,CLT0008,Nippon India MF,AMC,APAC,Deepak Rao,2020-06-14,31710.99,1,Verified,2026-10-09,High,Active,2024-09-15,253,ops@nipponindi.com,+91-8288122422,True,True
CLT-REC-00098,CLT0011,BlackRock India Fund,Hedge Fund,Americas,James Mitchell,2020-02-28,45579.0,19,Verified,2026-05-05,Low,Active,2025-03-12,75,ops@blackrocki.com,+91-8479208450,True,True
CLT-REC-00099,CLT0001,Tata Investment Corp,Institutional,APAC,Priya Sharma,2019-03-15,7715.06,2,Verified,2026-01-08,High,Active,2024-03-30,422,ops@tatainvest.com,+91-9038872431,True,True
CLT-REC-00100,CLT0012,Vanguard Emerging Markets,AMC,Americas,Sarah Thompson,2019-07-15,38459.8,12,Verified,2025-10-31,High,Active,2024-01-30,482,ops@vanguardem.com,+91-8279219326,True,True
CLT-REC-00101,CLT0002,Aditya Birla Capital,Institutional,APAC,Rahul Mehta,2018-07-22,48572.59,17,Verified,2025-07-07,High,Active,2024-07-11,319,ops@adityabirl.com,+91-8249418990,True,True
CLT-REC-00102,CLT0004,HDFC Pension Fund,Pension Fund,APAC,Vikram Singh,2017-11-05,45168.34,11,Verified,2025-11-03,Medium,Active,2024-03-02,450,ops@hdfcpensio.com,+91-7257570560,True,True
CLT-REC-00103,CLT0012,Vanguard Emerging Markets,AMC,Americas,,2019-07-15,36519.68,11,Verified,2027-04-04,High,Active,2024-01-27,485,,,False,True
CLT-REC-00104,CLT0013,GIC Private Ltd Singapore,Sovereign,APAC,Chen Wei,2017-05-22,8466.01,3,Verified,2025-05-05,Medium,Active,2024-05-28,363,ops@gicprivate.com,+91-8758603669,True,True
CLT-REC-00105,CLT0014,Temasek Holdings,Sovereign,APAC,Lim Boon Keng,2016-10-08,25822.17,7,Verified,2027-01-27,Low,Active,2024-03-12,440,ops@temasekhol.com,+91-8712928479,True,True
CLT-REC-00106,CLT0011,BlackRock India Fund,Hedge Fund,Americas,James Mitchell,2020-02-28,25364.14,9,Verified,2026-07-04,Low,Active,2025-03-17,70,ops@blackrocki.com,+91-7909873887,True,True
CLT-REC-00107,CLT0009,Emirates NBD Asset Mgmt,Institutional,EMEA,Omar Al Rashid,2018-03-20,48743.3,11,Verified,2026-12-27,High,Active,2024-04-06,415,ops@emiratesnb.com,+91-8870588304,True,True
CLT-REC-00108,CLT0003,SBI Life Insurance,Insurance,APAC,Anjali Patel,2020-01-10,41497.04,4,Verified,2026-09-24,Medium,Active,2025-05-19,7,ops@sbilifeins.com,+91-9895125859,True,True
CLT-REC-00109,CLT0005,Kotak Mahindra AMC,AMC,APAC,Neha Gupta,2021-04-18,9652.67,8,Verified,2025-10-04,Medium,Active,2025-01-24,122,ops@kotakmahin.com,+91-9097226198,True,True
CLT-REC-00110,CLT0014,Temasek Holdings,Sovereign,APAC,Lim Boon Keng,2016-10-08,3949.28,14,Verified,2026-09-03,Low,Active,2025-02-20,95,ops@temasekhol.com,+91-8748402407,True,False
CLT-REC-00111,CLT0005,Kotak Mahindra AMC,AMC,APAC,Neha Gupta,2021-04-18,13507.6,14,Verified,2027-03-04,High,Active,2024-05-06,385,ops@kotakmahin.com,+91-9474083451,False,True
CLT-REC-00112,CLT0003,SBI Life Insurance,Insurance,APAC,Anjali Patel,2020-01-10,21746.05,7,Verified,2025-09-23,High,Active,2024-08-15,284,ops@sbilifeins.com,+91-7126796700,True,False
CLT-REC-00113,CLT0011,BlackRock India Fund,Hedge Fund,Americas,James Mitchell,2020-02-28,30246.23,17,Verified,2025-07-09,Low,Active,2025-04-03,53,ops@blackrocki.com,+91-8277021933,True,True
CLT-REC-00114,CLT0012,Vanguard Emerging Markets,AMC,Americas,Sarah Thompson,2019-07-15,24756.56,8,Verified,2026-07-02,Medium,Active,2025-03-20,67,ops@vanguardem.com,+91-9073674426,True,True
CLT-REC-00115,CLT0010,Abu Dhabi Investment Auth,Sovereign,EMEA,Fatima Al Zaabi,2015-08-11,22458.83,13,Expired,2025-05-21,Low,Active,2024-08-02,297,ops@abudhabiin.com,+91-9680224392,True,False
CLT-REC-00116,CLT0015,Norges Bank Investment Mgmt,Sovereign,EMEA,Erik Larsen,2018-01-17,31230.88,20,Verified,2025-12-19,High,Active,2024-11-04,203,ops@norgesbank.com,+91-8017228296,True,True
CLT-REC-00117,CLT0008,Nippon India MF,AMC,APAC,Deepak Rao,2020-06-14,17467.8,8,Verified,2027-01-26,Low,Active,2024-01-01,511,ops@nipponindi.com,+91-7913306938,True,True
CLT-REC-00118,CLT0013,GIC Private Ltd Singapore,Sovereign,APAC,Chen Wei,2017-05-22,45293.64,10,Verified,2026-09-09,Low,Active,2024-02-07,474,ops@gicprivate.com,+91-8505175632,True,True
CLT-REC-00119,CLT0011,BlackRock India Fund,Hedge Fund,Americas,James Mitchell,2020-02-28,43932.6,2,Verified,2027-05-25,Low,Active,2024-07-07,323,ops@blackrocki.com,+91-8274156550,True,True
CLT-REC-00120,CLT0010,Abu Dhabi Investment Auth,Sovereign,EMEA,Fatima Al Zaabi,2015-08-11,2430.2,7,Verified,2026-04-13,Medium,Active,2025-01-20,126,ops@abudhabiin.com,,False,True
CLT-REC-00121,CLT0007,ICICI Prudential AMC,AMC,APAC,Sunita Joshi,2019-12-01,28700.34,10,Verified,2025-07-22,High,Active,2024-09-10,258,ops@iciciprude.com,+91-7559519765,True,True
CLT-REC-00122,CLT0009,Emirates NBD Asset Mgmt,Institutional,EMEA,Omar Al Rashid,2018-03-20,35589.91,6,Verified,2026-05-08,High,Active,2024-10-07,231,ops@emiratesnb.com,+91-8302830543,True,False
CLT-REC-00123,CLT0008,Nippon India MF,AMC,APAC,Deepak Rao,2020-06-14,23482.12,2,Verified,2026-12-22,Low,Active,2024-06-23,337,ops@nipponindi.com,+91-8094894262,True,True
CLT-REC-00124,CLT0008,Nippon India MF,AMC,APAC,Deepak Rao,2020-06-14,24462.92,20,Verified,2025-11-22,Low,Active,2024-11-18,189,ops@nipponindi.com,+91-9038083224,True,True
CLT-REC-00125,CLT0015,Norges Bank Investment Mgmt,Sovereign,EMEA,Erik Larsen,2018-01-17,30232.2,11,Verified,2026-08-13,Low,Active,2024-03-14,438,ops@norgesbank.com,+91-9371964690,True,True
CLT-REC-00126,CLT0002,Aditya Birla Capital,Institutional,APAC,Rahul Mehta,2018-07-22,26650.43,4,Verified,2025-11-20,High,Active,2024-02-24,457,ops@adityabirl.com,+91-8887292006,True,True
CLT-REC-00127,CLT0004,HDFC Pension Fund,Pension Fund,APAC,Vikram Singh,2017-11-05,8057.17,4,Verified,2026-02-01,Medium,Active,2024-10-21,217,ops@hdfcpensio.com,+91-8032168843,True,True
CLT-REC-00128,CLT0012,Vanguard Emerging Markets,AMC,Americas,Sarah Thompson,2019-07-15,17492.13,6,Verified,2027-02-15,Medium,Active,2024-11-18,189,ops@vanguardem.com,+91-7573496948,True,True
